adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000065984-09-000179	65984	ENTERGY CORP /DE/	4911	US	LA	NEW ORLEANS	70113	639 LOYOLA AVE		5045764000	US	LA	NEW ORLEANS	70161	PO BOX 61000		US	DE	721229752	ENTERGY CORP /FL/	19940329	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090904	2009-09-04 15:11:00.0	0	0	etr-20090630.xml	1	
0000067716-09-000112	67716	MDU RESOURCES GROUP INC	1400	US	ND	BISMARCK	58506-5650	1200 WEST CENTURY AVENUE		701-530-1059	US	ND	BISMARCK	58506-5650	1200 WEST CENTURY AVENUE		US	DE	410423660	MONTANA DAKOTA UTILITIES CO	19850429	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 09:24:00.0	0	0	mdu-20090630.xml	1	
0000072207-09-000031	72207	NOBLE ENERGY INC	1311	US	TX	HOUSTON	77067	100 GLENBOROUGH	SUITE 100	2818723100	US	TX	HOUSTON	77067	100 GLENBOROUGH	SUITE 100	US	DE	730785597	NOBLE AFFILIATES INC	20020426	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090730	2009-07-30 12:06:00.0	0	0	nbl-20090630.xml	1	
0000085408-09-000039	85408	ROWAN COMPANIES INC	1381	US	TX	HOUSTON	77056-6127	2800 POST OAK BLVD.	SUITE 5450	7136217800	US	TX	HOUSTON	77056-6127	2800 POST OAK BOULEVARD	SUITE 5450	US	DE	750759420	ROWAN DRILLING CO INC	19711110	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090810	2009-08-10 16:51:00.0	0	0	rdc-20090630.xml	1	
0000086521-09-000047	1032208	SEMPRA ENERGY	4932	US	CA	SAN DIEGO	92101	101 ASH STREET	P O BOX 129400	6196962000	US	CA	SAN DIEGO	92101	101 ASH STREET	P O BOX 129400	US	CA	330732627	MINERAL ENERGY CO	19970205	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090731	2009-07-31 16:07:00.0	0	0	sre-20090630.xml	4	75527 86521 92108
0000092122-09-000072	92122	SOUTHERN CO	4911	US	GA	ATLANTA	30308	30 IVAN ALLEN JR. BLVD., N.W.		4045065000	US	GA	ATLANTA	30308	30 IVAN ALLEN JR. BLVD., N.W.		US	DE	580690070			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090827	2009-08-27 11:36:00.0	0	0	so-20090630.xml	1	
0000092230-09-000076	92230	BB&T CORP	6021	US	NC	WINSTON-SALEM	27101	200 WEST SECOND STREET		3367332000	US	NC	WINSTON-SALEM	27101	200 WEST SECOND STREET		US	NC	560939887	SOUTHERN NATIONAL CORP /NC/	19920703	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090813	2009-08-13 10:17:00.0	0	0	bbt-20090630.xml	1	
0000092380-09-000027	92380	SOUTHWEST AIRLINES CO	4512	US	TX	DALLAS	75235	2702 LOVE FIELD DR	P O BOX 36611	2147924000	US	TX	DALLAS	75235-1611	PO BOX 36611		US	TX	741563240	AIR SOUTHWEST CO	19760108	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090723	2009-07-23 13:53:00.0	1	0	luv-20090630.xml	1	
0000097216-09-000168	97216	TEREX CORP	3537	US	CT	WESTPORT	06880	200 NYALA FARM ROAD		2032227170	US	CT	WESTPORT	06880	200 NYALA FARM ROAD		US	DE	341531521	BLACK MAMMOTH CONSOLIDATED MINING CO	19671002	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090730	2009-07-30 16:23:00.0	0	0	tex-20090630.xml	1	
0000097745-09-000040	97745	THERMO FISHER SCIENTIFIC INC.	3829	US	MA	WALTHAM	02451	81 WYMAN ST	PO BOX 9046	7816221000	US	MA	WALTHAM	02451	81 WYMAN ST	PO BOX 9046	US	DE	042209186	THERMO ELECTRON CORP	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090731	2009-07-31 10:08:00.0	0	0	tmo-20090627.xml	1	
0000107815-09-000047	783325	WISCONSIN ENERGY CORP	4931	US	WI	MILWAUKEE	53201	231 W MICHIGAN ST	P O BOX 1331	414-221-2345	US	WI	MILWAUKEE	53201	231 WEST MICHIGAN STREET	P O BOX 1331	US	WI	391391525			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 09:56:00.0	0	0	wec-20090630.xml	1	
0000217346-09-000117	217346	TEXTRON INC	3720	US	RI	PROVIDENCE	02903	40 WESTMINSTER ST		4014212800	US	RI	PROVIDENCE	02903	40 WESTMINSTER ST		US	DE	050315468	AMERICAN TEXTRON INC	19710510	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090731	2009-07-31 11:59:00.0	0	0	txt-20090704.xml	1	
0000277135-09-000023	277135	GRAINGER W W INC	5000	US	IL	LAKE FOREST	60045-5201	100 GRAINGER PARKWAY		847-535-1000	US	IL	LAKE FOREST	60045	100 GRAINGER PARKWAY		US	IL	361150280			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090731	2009-07-31 11:12:00.0	0	0	gww-20090630.xml	1	
0000277948-09-000113	277948	CSX CORP	4011	US	FL	JACKSONVILLE	32202	500 WATER STREET	15TH FLOOR	9043593200	US	FL	JACKSONVILLE	32202	500 WATER STREET	15TH FLOOR	US	VA	621051971			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090715	2009-07-15 16:16:00.0	0	0	csx-20090626.xml	1	
0000314808-09-000067	314808	ENSCO INTERNATIONAL INC	1381	US	TX	DALLAS	75201-3331	500 NORTH AKARD STREET	SUITE 4300	2143973000	US	TX	DALLAS	75201-3331	500 NORTH AKARD STREET	SUITE 4300	US	DE	760232579	ENERGY SERVICE COMPANY INC	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090723	2009-07-23 12:49:00.0	0	0	esv-20090630.xml	1	
0000704051-09-000121	704051	LEGG MASON INC	6282	US	MD	BALTIMORE	21202-1476	100 LIGHT ST		4105390000	US	MD	BALTIMORE	21202-1476	100 LIGHT ST		US	MD	521200960			1-LAF	1	0331	10-Q	20090630	2009	Q1	20090805	2009-08-05 15:30:00.0	0	0	lm-20090630.xml	1	
0000708819-09-000013	708819	MCDERMOTT INTERNATIONAL INC	3443	US	TX	HOUSTON	77079	777 N. ELDRIDGE PARKWAY		281-870-5000	US	TX	HOUSTON	77079	777 N. ELDRIDGE PARKWAY		PA		720593134			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090827	2009-08-27 12:41:00.0	0	0	mdr-20090630.xml	1	
0000732717-09-000050	732717	AT&T INC.	4813	US	TX	DALLAS	75202	208 S. AKARD ST	ATTN :  ANDREW LIBERA	2108214105	US	TX	DALLAS	75202	208 S. AKARD ST	ATTN :  ANDREW LIBERA	US	DE	431301883	SBC COMMUNICATIONS INC	19950501	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090805	2009-08-05 16:40:00.0	0	0	t-20090630.xml	1	
0000751652-09-000050	751652	QUESTAR CORP	1311	US	UT	SALT LAKE CITY	84145	180 EAST 100 SOUTH ST	PO BOX 45433	8015345000	US	UT	SALT LAKE CITY	84145	180 EAST 100 SOUTH ST	P O BOX 45433	US	UT	870407509			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090902	2009-09-01 19:39:00.0	0	0	str-20090630.xml	1	
0000753308-09-000086	753308	FPL GROUP INC	4911	US	FL	JUNO BEACH	33408	700 UNIVERSE BLVD		5616946311	US	FL	JUNO BEACH	33408	P O BOX 14000		US	FL	592449419			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090731	2009-07-31 14:36:00.0	0	0	fpl-20090630.xml	2	37634
0000797468-09-000095	797468	OCCIDENTAL PETROLEUM CORP /DE/	1311	US	CA	LOS ANGELES	90024	10889 WILSHIRE BLVD		3102088800	US	CA	LOS ANGELES	90024	10889 WILSHIRE BOULEVARD		US	DE	954035997			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 13:32:00.0	0	0	oxy-20090630.xml	1	
0000801898-09-000131	801898	JOY GLOBAL INC	3532	US	WI	MILWAUKEE	53201-0554	100 EAST WISCONSIN AVE SUITE 2780		4144866400	US	WI	MILWAUKEE	53201-0554	100 EAST WISCONSIN AVE SUITE 2780		US	DE	391566457	HARNISCHFEGER INDUSTRIES INC	19920703	1-LAF	1	1031	10-Q	20090731	2009	Q3	20090909	2009-09-09 14:43:00.0	0	0	joyg-20090731.xml	1	
0000818479-09-000123	818479	DENTSPLY INTERNATIONAL INC /DE/	3843	US	PA	YORK	17405	SUSQUEHANNA COMMERCE CENTER	221 W. PHILADELPHIA STREET	7178457511	US	PA	YORK	17405	SUSQUEHANNA COMMERCE CENTER	221 W. PHILADELPHIA STREET	US	DE	391434669	GENDEX CORP	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090730	2009-07-30 17:29:00.0	0	0	xray-20090630.xml	1	
0000821189-09-000047	821189	EOG RESOURCES INC	1311	US	TX	HOUSTON	77002	1111 BAGBY, SKY LOBBY 2		7136517000	US	TX	HOUSTON	77002	1111 BAGBY, SKY LOBBY 2		US	DE	470684736	ENRON OIL & GAS CO	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 17:09:00.0	0	0	eog-20090630.xml	1	
0000827054-09-000154	827054	MICROCHIP TECHNOLOGY INC	3674	US	AZ	CHANDLER	85224-6199	2355 W CHANDLER BLVD		480-792-7200	US	AZ	CHANDLER	85224-6199	2355 WEST CHANDLER BLVD		US	DE	860629024			1-LAF	1	0331	10-Q/A	20090630	2009	Q1	20090810	2009-08-10 17:30:00.0	0	0	mchp-20090630.xml	1	
0000831259-09-000076	831259	FREEPORT MCMORAN COPPER & GOLD INC	1000	US	AZ	PHOENIX	85004-4414	ONE NORTH CENTRAL AVENUE		6023668100	US	LA	NEW ORLEANS	70112	1615 POYDRAS STREET		US	DE	742480931	FREEPORT MCMORAN COPPER COMPANY INC	19910114	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 17:24:00.0	0	0	fcx-20090630.xml	1	
0000882835-09-000033	882835	ROPER INDUSTRIES INC	3823	US	FL	SARASOTA	34240	6901 PROFESSIONAL PKWY EAST	SUITE 200	9415562601	US	FL	SARASOTA	34240	6901 PROFESSIONAL PKWY EAST	SUITE 200	US	DE	510263969	ROPER INDUSTRIES INC /DE/	19930328	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090817	2009-08-17 10:00:00.0	0	0	rop-20090630.xml	1	
0000885721-09-000063	885721	EXPRESS SCRIPTS INC	5912	US	MO	ST LOUIS	63121	ONE EXPRESS WAY		3149960900	US	MO	ST LOUIS	63121	ONE EXPRESS WAY		US	DE	431420563			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090730	2009-07-29 19:08:00.0	1	0	esrx-20090630.xml	1	
0000885721-09-000066	885721	EXPRESS SCRIPTS INC	5912	US	MO	ST LOUIS	63121	ONE EXPRESS WAY		3149960900	US	MO	ST LOUIS	63121	ONE EXPRESS WAY		US	DE	431420563			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090730	2009-07-30 17:02:00.0	0	0	esrx-20090630.xml	1	
0000891092-09-003150	29989	OMNICOM GROUP INC	7311	US	NY	NEW YORK	10022	437 MADISON AVE		2124153700	US	NY	NEW YORK	10022	437 MADISON AVE		US	NY	131514814	DOYLE DANE BERNBACH GROUP INC	19861117	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 16:07:00.0	0	0	omc-20090630.xml	1	
0000897101-09-001829	64670	MEDTRONIC INC	3845	US	MN	MINNEAPOLIS	55432	710 MEDTRONIC PKWY	MS LC300	7635144000	US	MN	MINNEAPOLIS	55432	710 MEDTRONIC PKWY		US	MN	410793183			1-LAF	1	0430	10-Q/A	20090731	2010	Q1	20090909	2009-09-09 16:55:00.0	0	0	mdt-20090731.xml	1	
0000899689-09-000034	899689	VORNADO REALTY TRUST	6798	US	NY	NEW YORK	10019	888 SEVENTH AVE		212-894-7000	US	NY	NEW YORK	10019	888 SEVENTH AVE		US	MD	221657560			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090821	2009-08-21 17:11:00.0	0	0	vno-20090630.xml	1	
0000909281-09-000056	909281	ONEOK PARTNERS LP	4922	US	OK	TULSA	74103	100 WEST FIFTH STREET		9185887000	US	OK	TULSA	74103	100 WEST FIFTH STREET		US	DE	931120873	NORTHERN BORDER PARTNERS LP	19930719	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 13:54:00.0	0	0	oks-20090630.xml	1	
0000912750-09-000056	912750	NEWFIELD EXPLORATION CO /DE/	1311	US	TX	HOUSTON	77060	363 NORTH SAM HOUSTON PARKWAY EAST	SUITE 100	281-847-6000	US	TX	HOUSTON	77060	363 NORTH SAM HOUSTON PARKWAY EAST	SUITE 100	US	DE	721133047			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090810	2009-08-10 16:57:00.0	0	0	nfx-20090630.xml	1	
0000915389-09-000055	915389	EASTMAN CHEMICAL CO	2821	US	TN	KINGSPORT	37660	PO BOX 511	200 SOUTH WILCOX DRIVE	4232292000	US	TN	KINGSPORT	37662	P O BOX BOX 511 B-54D		US	DE	621539359			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090730	2009-07-30 15:58:00.0	0	0	emn-20090630.xml	1	
0000918160-09-000029	918160	AK STEEL HOLDING CORP	3312	US	OH	WEST CHESTER	45069	9227 CENTRE POINTE DRIVE		5134255000	US	OH	WEST CHESTER	45069	9227 CENTRE POINTE DRIVE		US	DE	311401455			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-04 11:57:00.0	1	0	aks-20090630.xml	1	
0000920148-09-000065	920148	LABORATORY CORP OF AMERICA HOLDINGS	8071	US	NC	BURLINGTON	27215	358 S MAIN ST		3362291127	US	NC	BURLINGTON	27215	358 S MAIN ST		US	DE	133757370	NATIONAL HEALTH LABORATORIES HOLDINGS INC	19940314	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090828	2009-08-28 12:37:00.0	0	0	lh-20090630.xml	1	
0000922224-09-000082	922224	PPL CORP	4911	US	PA	ALLENTOWN	181011179	TWO N NINTH ST		6107745151	US	PA	ALLENTOWN	18101-1179	TWO N NINTH ST		US	PA	232758192	PP&L RESOURCES INC	19941123	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090825	2009-08-25 11:45:00.0	0	0	ppl-20090630.xml	1	
0000930413-09-003869	1022079	QUEST DIAGNOSTICS INC	8071	US	NJ	MADISON	07940	3 GIRALDA FARMS		9735202700	US	NJ	MADISON	07940	3 GIRALDA FARMS		US	DE	161387862	CORNING CLINICAL LABORATORIES INC	19960903	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090728	2009-07-28 17:08:00.0	0	0	dgx-20090630.xml	1	
0000930413-09-003976	788784	PUBLIC SERVICE ENTERPRISE GROUP INC	4931	US	NJ	NEWARK	07102-4194	CORPORATE ACCOUNTING SERVICES	80 PARK PLAZA, 9TH FLOOR	973-430-7000	US	NJ	NEWARK	07102-4194	CORPORATE ACCOUNTING SERVICES	80 PARK PLAZA, 9TH FLOOR	US	NJ	222625848			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090803	2009-07-31 20:32:00.0	0	0	peg-20090630.xml	3	1158659 81033
0000930413-09-003987	773840	HONEYWELL INTERNATIONAL INC	3714	US	NJ	MORRISTOWN	07962	101 COLUMBIA RD	PO BOX 4000	9734552000	US	NJ	MORRISTOWN	07962	101 COLUMBIA RD P O BOX 4000	101 COLUMBIA RD P O BOX 4000	US	DE	222640650	ALLIEDSIGNAL INC	19940929	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090803	2009-08-03 15:24:00.0	0	0	hon-20090630.xml	1	
0000930413-09-004048	78814	PITNEY BOWES INC /DE/	3579	US	CT	STAMFORD	06926-0700	PITNEY BOWES INC	1 ELMCROFT ROAD	2033565000	US	CT	STAMFORD	06926-0700	1 ELMCROFT ROAD		US	DE	060495050			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090805	2009-08-05 16:45:00.0	0	0	pbi-20090630.xml	1	
0000934612-09-000042	934612	BURLINGTON NORTHERN SANTA FE CORP	4011	US	TX	FT WORTH	76131-2830	2650 LOU MENK DR		8007952673	US	TX	FORT WORTH	76131-2830	2650 LOU MENK DRIVE		US	DE	411804964	BURLINGTON NORTHERN SANTE FE CORP	19950913	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090724	2009-07-23 18:05:00.0	0	0	bni-20090630.xml	1	
0000941548-09-000106	941548	CAMERON INTERNATIONAL CORP	3533	US	TX	HOUSTON	77027	1333 WEST LOOP SOUTH	STE 1700	7135133322	US	TX	HOUSTON	77027	1333 WEST LOOP SOUTH	STE 1700	US	DE	760451843	COOPER CAMERON CORP	19950315	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 16:09:00.0	0	0	cam-20090630.xml	1	
0000950103-09-002146	936402	SHIRE PLC	2834	GB		HAMPSHIRE ENGLAND RG	R924 8EP	HAMPSHIRE INTL BUSINESS PARK	CHINEHAM BASINGSTOKE	441256894000	GB		HAMPSHIRE ENGLAND RG	R924 8EP	HAMPSHIRE INTL BUSINESS PARK	CHINEHAM BASINGSTOKE			000000000	SHIRE LTD.	20080523	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090828	2009-08-28 12:37:00.0	0	0	shpgf-20090630.xml	1	
0000950123-09-022892	875045	BIOGEN IDEC INC.	2836	US	MA	CAMBRIDGE	02142	14 CAMBRIDGE CENTER		6176792000	US	MA	CAMBRIDGE	02142	14 CAMBRIDGE CENTER		US	DE	330112644	BIOGEN IDEC INC	20031112	1-LAF	0	1231	10-Q	20090630	2009	Q2	20090717	2009-07-16 19:50:00.0	0	0	biib-20090630.xml	1	
0000950123-09-024369	804328	QUALCOMM INC/DE	3663	US	CA	SAN DIEGO	92121	5775 MOREHOUSE DR		8585871121	US	CA	SAN DIEGO	92121	5775 MOREHOUSE DR		US	DE	953685934			1-LAF	1	0930	10-Q	20090630	2009	Q3	20090722	2009-07-22 16:31:00.0	0	0	qcom-20090628.xml	1	
0000950123-09-024448	1164727	NEWMONT MINING CORP /DE/	1040	US	CO	GREENWOOD VILLAGE	80111	6363 SOUTH FIDDLERS GREEN CIRCLE		303-863-7414	US	CO	GREENWOOD VILLAGE	80111	6363 SOUTH FIDDLERS GREEN CIRCLE		US	DE	841611629	DELTA HOLDCO CORP	20020109	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090723	2009-07-22 19:17:00.0	0	0	nem-20090630.xml	1	
0000950123-09-024544	315852	RANGE RESOURCES CORP	1311	US	TX	FT WORTH	76102	100 THROCKMORTON  STE. 1200		817-870-2601	US	TX	FT WORTH	76102	100 THROCKMORTON  STE. 1200		US	DE	341312571	LOMAK PETROLEUM INC	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090723	2009-07-23 06:49:00.0	0	0	rrc-20090630.xml	1	
0000950123-09-024563	1133421	NORTHROP GRUMMAN CORP /DE/	3812	US	CA	LOS ANGELES	90067	1840 CENTURY PK E	C/O NORTHROP GRUMMAN CORP	310-201-1630	US	CA	LOS ANGELES	90067	1840 CENTURY PARK EAST	C/O NORTHROP GRUMMAN CORP	US	DE	954840775	NNG INC	20010129	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090723	2009-07-23 08:08:00.0	0	0	noc-20090630.xml	1	
0000950123-09-024681	42542	GOODRICH CORP	3760	US	NC	CHARLOTTE	28217	4 COLISEUM CENTRE	2730 WEST TYVOLA ROAD	7044237000	US	NC	CHARLOTTE	28217	4 COLISEUM CENTRE	2730 WEST TYVOLA RD	US	NY	340252680	GOODRICH B F CO	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090723	2009-07-23 13:08:00.0	0	0	gr-20090630.xml	1	
0000950123-09-024912	1054374	BROADCOM CORP	3674	US	CA	IRVINE	92617-3038	5300 CALIFORNIA AVENUE		949 926 5000	US	CA	IRVINE	92617-3038	5300 CALIFORNIA AVENUE		US	CA	330480482			1-LAF	0	1231	10-Q	20090630	2009	Q2	20090724	2009-07-23 19:02:00.0	0	0	brcm-20090630.xml	1	
0000950123-09-025033	29905	DOVER CORP	3530	US	NY	NEW YORK	10017	280 PARK AVE	38-W	2129221640							US	DE	530257888			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090724	2009-07-24 07:18:00.0	0	0	dov-20090630.xml	1	
0000950123-09-025125	2969	AIR PRODUCTS & CHEMICALS INC /DE/	2810	US	PA	ALLENTOWN	18195-1501	7201 HAMILTON BLVD		6104814911	US	PA	ALLENTOWN	18195-1501	7201 HAMILTON BLVD		US	DE	231274455			1-LAF	1	0930	10-Q	20090630	2009	Q3	20090724	2009-07-24 11:16:00.0	0	0	apd-20090630.xml	1	
